genus,genuskey,_family
Abortiporus,2540798,Meruliaceae
Abrachium,7812817,Phallaceae
Abrothallus,8590612,Abrothallaceae
Abrothallus,2584324,
Absconditella,2603171,Stictidaceae
Absidia,2558224,Cunninghamellaceae
Abstoma,2536759,Agaricaceae
Acantharia,2617281,Venturiaceae
Acanthobasidium,2553004,Stereaceae
Acanthohelicospora,7823699,Tubeufiaceae
Acantholichen,2555694,Hygrophoraceae
Acanthonitschkea,2560829,Nitschkiaceae
Acanthophiobolus,2613736,Tubeufiaceae
Acanthophysellum,2553139,Stereaceae
Acanthophysium,2546250,Stereaceae
Acanthostigma,2560760,Tubeufiaceae
Acanthostigmella,5262008,Tubeufiaceae
Acanthostigmina,2613840,Tubeufiaceae
Acanthothecis,2601666,Graphidaceae
Acarocybellina,2590997,
Acarospora,2600495,Acarosporaceae
Acarosporium,2583265,Sclerotiniaceae
Acaulopage,2559128,Zoopagaceae
Acaulospora,2560108,Acaulosporaceae
Acerbia,7252923,
Acervus,2594529,Pyronemataceae
Acetabula,8371627,Helvellaceae
Achroomyces,9206436,Platygloeaceae
Aciculosporium,3449879,Clavicipitaceae
Acladium,10240218,Botryobasidiaceae
Acolium,8172537,Caliciaceae
Acremoniella,2565838,
Acremoniula,7186535,
Acremonium,2560451,Bionectriaceae
Acrocalymma,2615649,Acrocalymmaceae
Acroconidiella,2620690,Cladosporiaceae
Acrocordia,2598805,Monoblastiaceae
Acrocordiella,7252760,Requienellaceae
Acrodictyopsis,2591781,
Acrodictys,2588477,Acrodictyaceae
Acrodontiella,2588717,
Acrodontium,2592018,Teratosphaeriaceae
Acrogenospora,9593114,Hysteriaceae
Acrogenotheca,2626018,Trichopeltinaceae
Acrophialophora,8207448,Chaetomiaceae
Acroscyphus,3269439,Caliciaceae
Acrospermum,9044526,Acrospermaceae
Acrosporium,2554904,
Acrostalagmus,9732114,Hypocreaceae
Acrothecium,9532663,Pleosporaceae
Actidium,2613591,Mytilinidiaceae
Actinocladium,9473962,
Actinodendron,7864527,Gymnoascaceae
Actinomucor,2558520,Mucoraceae
Actinopelte,7256818,Tubakiaceae
Actinoplaca,6610218,Gomphillaceae
Actinoscypha,2585158,Dermateaceae
Acumispora,9405220,
Adelococcus,7252673,Adelococcaceae
Adelolecia,2607920,Ramalinaceae
Adelphella,3494730,Pezizaceae
Aderkomyces,3419974,Gomphillaceae
Adustomyces,2540676,Pterulaceae
Aecidium,2513143,
Aegerita,2523224,Meruliaceae
Aegeritoidea,3498146,
Aeruginoscyphus,8154614,Hyaloscyphaceae
Aeruginospora,2532025,Tricholomataceae
Afroboletus,2524679,Boletaceae
Agaricus,2518646,Agaricaceae
Agonimia,2596862,Verrucariaceae
Agrocybe,2527828,Strophariaceae
Agyriella,3229225,Stictidaceae
Agyrium,2584217,Agyriaceae
Ahtiana,2605887,Parmeliaceae
Ainoa,8175513,Baeomycetaceae
Aithaloderma,7519037,Capnodiaceae
Ajellomyces,2588641,Ajellomycetaceae
Akanthomyces,2562808,Cordycipitaceae
Akenomyces,2523623,
Alatospora,11087972,Leotiaceae
Alatospora,2577704,
Albatrellopsis,2551747,Albatrellaceae
Albatrellus,2551762,Albatrellaceae
Albertiniella,2573827,Cephalothecaceae
Albifimbria,9803212,Stachybotryaceae
Alboleptonia,7244320,Entolomataceae
Albomagister,8409108,Tricholomataceae
Albonectria,2564268,Nectriaceae
Alborbis,9764486,Sydowiellaceae
Albotricha,2586640,Lachnaceae
Aldona,2625376,Parmulariaceae
Alectoria,2605788,Parmeliaceae
Alessioporus,7751789,Boletaceae
Aleuria,2581719,Pyronemataceae
Aleurina,2594089,Pyronemataceae
Aleurisma,7256250,Hypocreaceae
Aleurocystidiellum,2550627,Stereaceae
Aleurocystis,2553149,
Aleurodiscus,2523258,Stereaceae
Algochytrops,7964303,Chytridiaceae
Aliquandostipite,2611187,Aliquandostipitaceae
Allantonectria,8212999,Nectriaceae
Allantoparmelia,2605062,Parmeliaceae
Allantophomopsiella,7704803,Phacidiaceae
Allantophomopsis,2581423,Phacidiaceae
Allelochaeta,3462655,Sporocadaceae
Alloanthostomella,9794018,Xylariaceae
Allocalicium,10172144,Caliciaceae
Allocetraria,7248114,Parmeliaceae
Alloclavaria,8417032,Rickenellaceae
Allodus,9397968,Pucciniaceae
Allographa,6013038,Graphidaceae
Allomyces,2626879,Blastocladiaceae
Allophoma,9707836,Didymellaceae
Allophylaria,10962312,Helotiaceae
Allophylaria,2581824,Pezizellaceae
Allosoma,3527372,Englerulaceae
Alnecium,7412727,Gnomoniaceae
Alnicola,7501242,Hymenogastraceae
Alphamyces,2627504,Alphamycetaceae
Alpinaria,9767113,Melanommataceae
Alpova,2525555,Paxillaceae
Alternaria,7388975,Pleosporaceae
Alternaria,8415854,Pleosporaceae
Alutaceodontia,2519038,Schizoporaceae
Alveolaria,2517906,Pucciniosiraceae
Alysidiopsis,2589956,
Alysidium,2516762,Botryobasidiaceae
Alyxoria,3547470,Lecanographaceae
Amallospora,2591019,
Amandinea,8266799,Caliciaceae
Amandinea,5261441,Physciaceae
Amanita,6005964,Amanitaceae
Amanita,7237597,
Amanita,2526057,Amanitaceae
Amarenomyces,2615204,Phaeosphaeriaceae
Amaropostia,10684186,Fomitopsidaceae
Amarrendia,2526246,Amanitaceae
Amauroascus,2595949,Onygenaceae
Amauroderma,7938750,Ganodermataceae
Amaurodon,2522795,Thelephoraceae
Amazonia,2611153,Meliolaceae
Ambispora,2560215,Ambisporaceae
Amblyosporium,2572520,
Ameghiniella,2582499,Cordieritidaceae
Ameliella,8374913,Lecanoraceae
Amerodothis,7255029,Didymellaceae
Amerosporium,2569083,Sclerotiniaceae
Amicodisca,3489258,Amicodiscaceae
Amniculicola,3538526,Amniculicolaceae
Amorphomyces,2610572,Laboulbeniaceae
Amorphotheca,2597086,Amorphothecaceae
Amparoina,2531646,Tricholomataceae
Ampelomyces,2619222,Phaeosphaeriaceae
Amphilogia,2566406,Cryphonectriaceae
Amphinema,2554032,Atheliaceae
Amphiporthe,2566749,Valsaceae
Amphirosellinia,2577249,Xylariaceae
Amphisphaerella,2574259,Amphisphaeriaceae
Amphisphaeria,8105191,Amphisphaeriaceae
Amphistereum,9722388,
Amphoromorpha,7258409,Basidiobolaceae
Amphorula,10217050,Annulatascaceae
Ampliotrema,5260825,Graphidaceae
Amplistroma,7916414,Amplistromataceae
Ampullifera,3442664,
Ampulliferina,2589525,
Ampulloclitocybe,2538863,Hygrophoraceae
Amundsenia,9711242,Teloschistaceae
Amygdalaria,2603215,Lecideaceae
Amylascus,2595461,Pezizaceae
Amyloathelia,8484778,Amylocorticiaceae
Amylocarpus,2577768,Helotiaceae
Amylocorticiellum,2525157,Amylocorticiaceae
Amylocorticium,8696896,Amylocorticiaceae
Amylocystis,2542458,Fomitopsidaceae
Amylofungus,2552051,Peniophoraceae
Amyloporia,10430435,Polyporaceae
Amylosporus,9263411,Bondarzewiaceae
Amylostereum,2550641,Amylostereaceae
Amyloxenasma,2525275,Amylocorticiaceae
Anamylopsora,2599872,Baeomycetaceae
Anaptychia,8989572,Physciaceae
Ancistrosporella,6616445,Roccellaceae
Ancylistes,2559678,Ancylistaceae
Andebbia,2525960,Mesophelliaceae
Andreiomyces,9675718,Andreiomycetaceae
Androsaceus,9779567,Marasmiaceae
Anema,2586961,Lichinaceae
Angelina,2580661,Rhytismataceae
Angiactis,2592885,Roccellaceae
Angiopsora,7496733,Phakopsoraceae
Anguillospora,2581604,Amniculicolaceae
Anguillosporella,2623421,Mycosphaerellaceae
Aniptodera,2564668,Halosphaeriaceae
Anisogramma,2566056,Gnomoniaceae
Anisomeridium,2598818,Monoblastiaceae
