_family,familykey,_order
Abrothallaceae,8401066,Abrothallales
Absidiaceae,3303269,
Acarosporaceae,8347,Acarosporales
Acaulosporaceae,3301,Diversisporales
Acrocalymmaceae,7440271,Pleosporales
Acrodictyaceae,11161876,Diaporthales
Acrospermaceae,4790,Acrospermales
Adelococcaceae,8338,Verrucariales
Agaricaceae,4170,Agaricales
Agaricostilbaceae,7607,Agaricostilbales
Agyriaceae,8346,Pertusariales
Ajellomycetaceae,4830,Onygenales
Albatrellaceae,7614,Russulales
Aliquandostipitaceae,4806,Jahnulales
Alphamycetaceae,3270907,Rhizophydiales
Amanitaceae,4171,Agaricales
Ambisporaceae,3303,Archaeosporales
Amicodiscaceae,10681681,Helotiales
Amniculicolaceae,5893931,Pleosporales
Amorphothecaceae,1946,Erysiphales
Amphisphaeriaceae,4164,Amphisphaeriales
Amplistromataceae,7584404,Amplistromatales
Amylocorticiaceae,4188,Amylocorticiales
Amylostereaceae,3284,Russulales
Ancylistaceae,4089,Entomophthorales
Andreiomycetaceae,9810057,Arthoniales
Annulatascaceae,2459,Annulatascales
Anteagloniaceae,7901593,Pleosporales
Antennulariellaceae,4792,Capnodiales
Anthracoideaceae,3824,Ustilaginales
Aphanopsidaceae,8342,Lecanorales
Aphelariaceae,8456,Cantharellales
Apiosporaceae,5733,Xylariales
Aplosporellaceae,8093750,Botryosphaeriales
Aporpiaceae,3563793,Auriculariales
Arachnomycetaceae,8320,Arachnomycetales
Arachnopezizaceae,8377363,Helotiales
Archaeosporaceae,3302,Archaeosporales
Arctomiaceae,4838,Arctomiales
Arthoniaceae,8363,Arthoniales
Arthopyreniaceae,8356,Pleosporales
Arthrodermataceae,4831,Onygenales
Arthrorhaphidaceae,6242,Umbilicariales
Ascobolaceae,8395,Pezizales
Ascocorticiaceae,4120,Medeolariales
Ascodesmidaceae,4128,Pezizales
Ascodichaenaceae,4098,Rhytismatales
Ascosphaeraceae,4824,Ascosphaerales
Aspergillaceae,3563703,Eurotiales
Aspidotheliaceae,2481,
Asterinaceae,4793,Asterinales
Asterosporiaceae,10320201,Diaporthales
Asterotexaceae,7795575,Asterotexales
Atheliaceae,9665,Atheliales
Aulographaceae,4807,Asterinales
Auriculariaceae,8788,Auriculariales
Auriscalpiaceae,3283,Russulales
Australiascaceae,8149040,Chaetosphaeriales
Backusellaceae,8246476,Mucorales
Baeomycetaceae,8345,Baeomycetales
Bankeraceae,7608,Thelephorales
Barbatosphaeriaceae,10485452,
Bartaliniaceae,9802508,Amphisphaeriales
Bartheletiaceae,3290875,Bartheletiales
Basidiobolaceae,8270,Basidiobolales
Beltraniaceae,3561106,Sordariales
Bertiaceae,8410,Coronophorales
Biatorellaceae,8341,Lecanorales
Biatriosporaceae,7482190,Pleosporales
Bionectriaceae,8416,Hypocreales
Blastocladiaceae,3819,Blastocladiales
Bolbitiaceae,8440,Agaricales
Boletaceae,8789,Boletales
Boletinellaceae,8790,Boletales
Boliniaceae,8408,Boliniales
Bondarzewiaceae,7613,Russulales
Botryobasidiaceae,4197,Cantharellales
Botryosphaeriaceae,4791,Botryosphaeriales
Brachybasidiaceae,3266,Exobasidiales
Brigantiaeaceae,4834,Lecanorales
Brigantieaceae,10796834,Teloschistales
Broomeiaceae,8441,Agaricales
Bryoglossaceae,10854765,Helotiales
Bulgariaceae,8387,Leotiales
Bulleraceae,9709111,Tremellales
Bulleribasidiaceae,9675359,Tremellales
Cainiaceae,8436,Xylariales
Calcarisporiaceae,9794489,Hypocreales
Calcarisporiellaceae,10837806,Calcarisporiellales
Caliciaceae,4115,Caliciales
Callistosporiaceae,10777657,Agaricales
Calloriaceae,3558242,Rhytismatales
Caloscyphaceae,4129,Pezizales
Calosphaeriaceae,4142,Calosphaeriales
Calostomataceae,4189,Boletales
Camarosporidiellaceae,9800027,Pleosporales
Candelariaceae,8343,Candelariales
Candelariella,8171046,Lecanorales
Cantharellaceae,8457,Cantharellales
Capnodiaceae,4794,Capnodiales
Carbomycetaceae,8396,Pezizales
Carbonicolaceae,7430970,Lecanorales
Carcinomycetaceae,7580,Tremellales
Caryosporaceae,7371275,Pleosporales
Catathelasmataceae,3309349,Agaricales
Catenariaceae,3818,Blastocladiales
Catillariaceae,4833,Lecanorales
Celotheliaceae,8353,Phaeomoniellales
Cenangiaceae,3553794,Helotiales
Cephalothecaceae,8426,Cephalothecales
Ceratobasidiaceae,8458,Cantharellales
Ceratocystidaceae,4156,Microascales
Ceratomycetaceae,8339,Laboulbeniales
Ceratosphaeriaceae,10854389,Magnaporthales
Ceratostomataceae,4155,Melanosporales
Chaconiaceae,3255,Pucciniales
Chaetomellaceae,7469559,Chaetomellales
Chaetomiaceae,8433,Sordariales
Chaetosphaerellaceae,8411,Coronophorales
Chaetosphaeriaceae,8409,Chaetosphaeriales
Chaetothyriaceae,8321,Chaetothyriales
