_order,orderkey,_class
Abrothallales,7621235,Dothideomycetes
Acarosporales,1271,Lecanoromycetes
Acrospermales,1261,Dothideomycetes
Agaricales,1499,Agaricomycetes
Agaricostilbales,1143,Agaricostilbomycetes
Amphisphaeriales,9705438,Sordariomycetes
Amplistromatales,9802425,Sordariomycetes
Amylocorticiales,7794662,Agaricomycetes
Annulatascales,9681941,Sordariomycetes
Arachnomycetales,1265,Eurotiomycetes
Archaeosporales,1149,Glomeromycetes
Arctomiales,10783452,Lecanoromycetes
Arthoniales,1273,Arthoniomycetes
Ascosphaerales,1266,Eurotiomycetes
Asterinales,7840248,Dothideomycetes
Asterotexales,8217364,Dothideomycetes
Atheliales,832,Agaricomycetes
Atractiellales,528,Atractiellomycetes
Auriculariales,1062,Agaricomycetes
Baeomycetales,1042,Lecanoromycetes
Bartheletiales,10694277,Bartheletiomycetes
Basidiobolales,860,
Blastocladiales,1119,Blastocladiomycetes
Boletales,1063,Agaricomycetes
Boliniales,1058,Sordariomycetes
Botryosphaeriales,1032,Dothideomycetes
Calcarisporiellales,10677618,Mucoromycetes
Caliciales,10861608,Lecanoromycetes
Calosphaeriales,1283,Sordariomycetes
Candelariales,1269,Candelariomycetes
Cantharellales,1300,Agaricomycetes
Capnodiales,1262,Dothideomycetes
Cephalothecales,10796203,Sordariomycetes
Chaetomellales,10899016,Leotiomycetes
Chaetosphaeriales,1284,Sordariomycetes
Chaetothyriales,1038,Eurotiomycetes
Chytridiales,1118,Chytridiomycetes
Cladochytriales,10745599,Chytridiomycetes
Classiculales,1141,Classiculomycetes
Collemopsidiales,9791120,Dothideomycetes
Coniochaetales,1285,Sordariomycetes
Coniocybales,10699167,Coniocybomycetes
Conioscyphales,9796456,Sordariomycetes
Cordanales,9694354,Sordariomycetes
Coronophorales,1288,Sordariomycetes
Corticiales,1301,Agaricomycetes
Coryneliales,1039,Eurotiomycetes
Cyphobasidiales,9819427,Cystobasidiomycetes
Cystobasidiales,1139,Cystobasidiomycetes
Cystofilobasidiales,1125,Tremellomycetes
Cyttariales,1276,Leotiomycetes
Dacrymycetales,1138,Dacrymycetes
Delonicicolales,9671042,Sordariomycetes
Diaporthales,1289,Sordariomycetes
Dimargaritales,752,
Distoseptisporales,10837832,Sordariomycetes
Diversisporales,533,Glomeromycetes
Doassansiales,1136,Exobasidiomycetes
Dothideales,1033,Dothideomycetes
Endogonales,751,
Entomophthorales,859,Entomophthoromycetes
Entorrhizales,525,Entorrhizomycetes
Entylomatales,1135,Exobasidiomycetes
Eremithallales,8037101,Dothideomycetes
Erysiphales,1277,Leotiomycetes
Eurotiales,1040,Eurotiomycetes
Exobasidiales,524,Exobasidiomycetes
Filobasidiales,1124,Tremellomycetes
Geastrales,1064,Agaricomycetes
Geoglossales,8190781,Geoglossomycetes
Georgefischeriales,1134,Exobasidiomycetes
Gloeophyllales,1065,Agaricomycetes
Glomerales,1148,Glomeromycetes
Glomerellales,9705517,Sordariomycetes
Gomphales,1303,Agaricomycetes
Graphidales,10835964,Lecanoromycetes
Harpellales,747,Kickxellomycetes
Helicobasidiales,1127,Pucciniomycetes
Helotiales,1052,Leotiomycetes
Heterogastridiales,523,Microbotryomycetes
Holtermanniales,7879843,Tremellomycetes
Hymeneliales,10846842,Lecanoromycetes
Hymenochaetales,1304,Agaricomycetes
Hypocreales,1290,Sordariomycetes
Hysterangiales,1146,Agaricomycetes
Hysteriales,1034,Dothideomycetes
Jaapiales,9816114,Agaricomycetes
Jahnulales,1035,Dothideomycetes
Jobellisiales,9786028,Sordariomycetes
Kickxellales,750,Kickxellomycetes
