species,specieskey,genus
Abortiporus biennis,2544114,Abortiporus
Abrachium floriforme,7685901,Abrachium
Abrothallus acetabuli,3475389,Abrothallus
Abrothallus brattii,7896101,Abrothallus
Abrothallus bryoriarum,3475388,Abrothallus
Abrothallus buellianus,3475393,Abrothallus
Abrothallus caerulescens,2592373,Abrothallus
Abrothallus caerulescens,8318560,Abrothallus
Abrothallus cetrariae,7824496,Abrothallus
Abrothallus cladoniae,2592374,Abrothallus
Abrothallus hypotrachynae,3475411,Abrothallus
Abrothallus lobariae,10176645,Abrothallus
Abrothallus microspermus,2592379,Abrothallus
Abrothallus nephromatis,8341723,Abrothallus
Abrothallus parmeliarum,7513752,Abrothallus
Abrothallus parmotrematis,2592368,Abrothallus
Abrothallus peyritschii,7867531,Abrothallus
Abrothallus pezizicola,3475402,Abrothallus
Abrothallus prodiens,2592369,Abrothallus
Abrothallus santessonii,10761368,Abrothallus
Abrothallus suecicus,2592384,Abrothallus
Abrothallus usneae,2592364,Abrothallus
Abrothallus welwitschii,2592363,Abrothallus
Abrothallus welwitschii,8343517,Abrothallus
Absconditella amabilis,5953305,Absconditella
Absconditella annexa,3420344,Absconditella
Absconditella celata,2603173,Absconditella
Absconditella delutula,2603180,Absconditella
Absconditella fossarum,3420348,Absconditella
Absconditella lignicola,2603178,Absconditella
Absconditella pauxilla,2603179,Absconditella
Absconditella sphagnorum,2603172,Absconditella
Absconditella trivialis,2603174,Absconditella
Absidia caerulea,5250625,Absidia
Absidia coerulea,5469216,Absidia
Absidia cylindrospora,3385768,Absidia
Absidia fusca,5250612,Absidia
Absidia glauca,5250615,Absidia
Absidia repens,5250638,Absidia
Absidia spinosa,3385789,Absidia
Abstoma pampeanum,3340029,Abstoma
Abstoma purpureum,2536760,Abstoma
Abstoma reticulatum,3340026,Abstoma
Abstoma stuckertii,2536762,Abstoma
Abstoma townei,3340033,Abstoma
Abstoma verrucisporum,3340027,Abstoma
Acantharia echinata,5262781,Acantharia
Acanthobasidium delicatum,8227732,Acanthobasidium
Acanthobasidium norvegicum,2553007,Acanthobasidium
Acanthobasidium penicillatum,7477233,Acanthobasidium
Acanthobasidium phragmitis,2553005,Acanthobasidium
Acanthohelicospora aurea,9711639,Acanthohelicospora
Acanthohelicospora scopula,9677642,Acanthohelicospora
Acantholichen pannarioides,2555695,Acantholichen
Acanthonitschkea coloradensis,2560779,Acanthonitschkea
